numero,nombre_cientifico,nombre_comun,rango,cantidad_observaciones,enlaces_observaciones
1,Ctenosaura pectinata,"Iguana Negra Mexicana, Iguana Mexicana de Cola Espinosa, Garrobos de Roca, Garrobo de Roca, Iguana-espinosa mexicana, Western Spiny-tailed Iguana, Mexican Black Spiny-tailed Iguana, Guerreran Spiny-tailed Iguana, Mexican spiny-tailed iguana, Spiny-tailed Iguana, Mexican Spiny-tailed Iguana, Mexican spinytail iguana, Iguane Mexicain à Queue Épineuse",species,219,"328140817, 328076733, 327769738, 327623197, 327390359, 327203542, 326560191, 326536392, 326214189, 326214188, 326214183, 326214184, 326214178, 326214172, 325862806, 325741488, 325504029, 325228008, 325228007, 324978956, 324975702, 324408110, 323856624, 323856621, 323856543, 323856042, 323854309, 323834984, 323502969, 322686869, 322102339, 322078788, 321501174, 321305099, 321304632, 320984089, 320983850, 319992198, 319607659, 319598084, 319295563, 319210713, 319189280, 319188655, 319176230, 319062496, 319034285, 318466598, 318335006, 318080933, 317905792, 317905773, 317902576, 317313166, 317313072, 316752550, 316748750, 316438781, 315893429, 315724768, 315683510, 315400706, 314958689, 314958654, 314942790, 314914820, 314914814, 314914813, 314480866, 313619447, 313230883, 313230872, 312829156, 312828835, 312783307, 310208282, 310208274, 310208273, 308516183, 308238152, 308107702, 308035107, 307662065, 307653377, 306317878, 305682467, 305624295, 305408984, 305401111, 304827222, 304621020, 303801889, 302608113, 302526320, 301960624, 301960617, 301960615, 301960612, 301960276, 301960098, 301959923, 301959798, 301959544, 301959378, 300494808, 300339861, 299918342, 299918292, 299918240, 299404229, 299224107, 298554777, 298548967, 298548964, 298548956, 298280467, 298273173, 298272598, 298272407, 298272028, 298271659, 297784741, 297144502, 296183928, 296179368, 296178176, 296176574, 296120316, 295215746, 295038250, 294988929, 294671509, 293528521, 293305216, 292991807, 292695127, 291968389, 291951415, 291696190, 291617591, 291617291, 291070035, 290804306, 290733865, 290514332, 290514311, 290514261, 290514187, 290514138, 290514137, 290029018, 290028751, 289924546, 289434472, 289401793, 289368416, 289127125, 289066281, 289066261, 289066250, 289066244, 288659092, 288238440, 287211716, 286392040, 284416490, 283553161, 283277617, 282945029, 282794471, 282425367, 282200151, 281370936, 281185958, 280882616, 280782533, 280551985, 280264362, 279568103, 278798142, 278579596, 278579592, 278579588, 278579587, 278523113, 278523109, 278523105, 278523101, 278512632, 278512592, 278496448, 278132773, 277949804, 277761876, 277738650, 277596326, 277472433, 277469613, 277469482, 277454779, 277425625, 277397971, 277397673, 277396004, 277395898, 276701343, 276450251, 276430467, 275072312, 274945749, 274428235, 272533906, 272467408, 272449833, 271630267, 270664767, 270664739, 269701584, 269492011"
2,Kinosternon integrum,No disponible,species,140,"327800883, 323901349, 322849745, 321256173, 320983877, 320983811, 320983767, 320247430, 319296387, 319090493, 318709403, 318688592, 318078794, 309774172, 309774171, 309774170, 309774169, 309774167, 309774166, 309774165, 309774164, 309774162, 309774161, 309774155, 309774154, 309774153, 309774152, 309774151, 309774150, 309277049, 309277048, 309277044, 309277043, 309277042, 309277038, 309277037, 309277029, 309277020, 309277017, 309277003, 309277001, 309277000, 309276995, 309276993, 309276991, 309276990, 309276988, 309276987, 309274278, 309274272, 309274271, 309274266, 309274264, 309274261, 308477734, 306606813, 304301162, 302456879, 302456878, 302456877, 302456873, 302456872, 302456870, 302456868, 302456867, 302456863, 302456861, 302456860, 302456856, 302456855, 302456854, 302456852, 302456851, 302456850, 302456848, 302456847, 302456845, 302456843, 302456842, 302456841, 302456838, 302456837, 302456836, 302456831, 302456830, 302456829, 302456828, 302456827, 302456825, 302456824, 302456823, 302456822, 302456821, 302456820, 302456818, 302456816, 302456814, 302456813, 302456812, 302456811, 302456810, 302456807, 302456806, 302456805, 302456799, 302456798, 302456797, 302456793, 302456792, 302456791, 302456787, 302456786, 302456785, 302456783, 302456782, 302456780, 302456777, 302456776, 302456775, 302456774, 302456773, 302456772, 302456770, 302456768, 302456767, 302456765, 302456764, 302456762, 302456757, 302456756, 302456752, 298946955, 290514221, 289245729, 289066296, 284302131, 284301831, 284128199, 273645643, 272699119"
3,Iguana iguana,No disponible,species,120,"328087297, 327740585, 327716092, 327397905, 326837957, 326139649, 326139301, 326095732, 326095727, 326095726, 325519444, 325519409, 325519387, 325288369, 324749429, 324626914, 324561151, 323714084, 323512156, 321946466, 321559203, 321294398, 321125566, 320362825, 319034078, 318901300, 318214770, 316186906, 314006728, 314006725, 312726785, 310698386, 310693193, 309582074, 309121191, 308802099, 307884505, 307884428, 305625224, 305046632, 304611533, 304312281, 303751712, 303593996, 301497572, 300545123, 300047389, 299756469, 299472935, 299403977, 298992431, 297909520, 297795374, 297637632, 297466024, 297182177, 297182041, 297181879, 296951509, 296081177, 294700072, 294509413, 293607646, 293046060, 293046059, 291696197, 291568624, 291283374, 291250023, 289250966, 287211722, 287210044, 286921132, 286748287, 286327376, 284414936, 281891498, 281884488, 281880542, 281849441, 281830535, 281830479, 281640973, 281542869, 281542868, 281353896, 280659259, 280624547, 280623520, 278845152, 278587908, 278587902, 277860863, 277615252, 277519373, 277517571, 277513919, 277425907, 277079874, 277067882, 277064982, 276734813, 276734757, 276401335, 276341813, 272885633, 272569192, 272361722, 272302631, 272301056, 271887118, 271886964, 271605880, 270945940, 270711858, 270663563, 270663551, 269076084, 269046523, 268864145"
4,Fregata magnificens,No disponible,species,118,"327806411, 327735984, 327427100, 327390319, 327390294, 327390023, 327389936, 327389887, 327380756, 326095736, 326095710, 325969542, 325288757, 325228017, 325228016, 324978850, 324975668, 324588784, 319599517, 319257478, 318702905, 318646779, 318478077, 317905803, 317905793, 317905786, 317905772, 317905765, 317905748, 316801725, 316633607, 315406464, 314942659, 314484739, 314484129, 314006732, 313973667, 310693203, 307883140, 307882914, 307882861, 307795290, 307468580, 307447970, 304609923, 304039213, 302477287, 301903644, 300011972, 299888787, 299088107, 298295498, 298291667, 297965918, 297953449, 296839837, 296532950, 296400809, 296381781, 291316060, 288905260, 286802303, 285408218, 283747465, 283505413, 283317002, 283273214, 283238078, 283163710, 282652656, 281909241, 281513465, 281030524, 280882617, 280810325, 280530379, 280135681, 280135666, 279774212, 278512648, 278512647, 278512646, 278376759, 278139247, 278134574, 278129530, 278129280, 278128753, 278128410, 278125721, 277748582, 277469217, 277396494, 277396421, 277237432, 276456832, 276455738, 276455254, 276440225, 276405802, 276400865, 275339027, 274945799, 274945774, 273280288, 272748143, 272303379, 271622898, 271622897, 271330779, 271330774, 271330770, 271330765, 271291743, 271291061, 269834964, 269409085, 268978403"
5,Pelecanus occidentalis,Brown Pelican,species,102,"327936888, 327864348, 327782215, 327622173, 327569640, 327421969, 327380759, 327313450, 326287934, 326095733, 325228013, 324975684, 323096940, 322073659, 320745878, 320568479, 319607333, 319086286, 319086214, 318407871, 317905779, 315408033, 315321902, 314879757, 314518635, 314008385, 314008384, 313976982, 310693192, 310398170, 309418331, 309418321, 309416088, 309416084, 307625433, 307176831, 306317884, 303860094, 302940033, 302940032, 302764757, 302549825, 300733405, 298291383, 298061763, 296840497, 296405078, 295825215, 294988918, 294396601, 293186955, 291653995, 290650292, 289361510, 289186418, 287468024, 285408508, 285221159, 284622409, 283715937, 283481290, 282746905, 282701807, 281873289, 281542907, 281513468, 280882625, 280646212, 280641491, 280622084, 278799996, 278579560, 278512616, 277564218, 277480537, 277237178, 276456286, 276451407, 276451268, 276450972, 276447603, 276445550, 276444957, 276438578, 276391992, 276387345, 276383495, 276109987, 275339059, 275339037, 273271638, 272748166, 272076237, 271630258, 271330780, 271330769, 271147480, 270945928, 270113806, 269868244, 269695015, 269308128"
6,Quiscalus mexicanus,"Zanate Mexicano, Great-tailed Grackle, Dohlengrackel, Gracula codalunga, Kragegrackel, Langstaarttroepiaal, Quiscale à longue queue, Storhaletrupial, lielastes pusvārnis, mexikobåtstjärt, mexikói csónakfarkú, pitkäpyrstöturpiaali, quíscal cua de faisà, stambiauodegis kviskalas, vlhovec velkoocasý, vlhovec člnkochvostý, wilgowron meksykański, Большехвостый гракл, オナガクロムクドリモドキ, 大尾拟八哥, 大尾擬八哥",species,85,"327963127, 327313269, 327110567, 326290472, 326139047, 326095690, 326095686, 326049864, 324102604, 322836798, 320021475, 319977746, 319703749, 319473340, 319452911, 319452894, 319396518, 319396245, 319295813, 319222063, 319086529, 318709234, 318554338, 318499965, 318499016, 318462580, 315165778, 315032580, 314879767, 305992472, 305637866, 303817312, 303768103, 303751771, 302207820, 301747714, 300744053, 300375080, 300034332, 300011986, 297734080, 297713813, 297185278, 297182629, 297182521, 295899840, 295583927, 295447477, 293607540, 290514286, 290284427, 289185852, 287492096, 287379143, 287377520, 287208381, 286367272, 281861388, 281640491, 280882606, 280840118, 280624046, 280548363, 280543600, 277456471, 275606928, 273653696, 272878925, 272756293, 272756292, 272748167, 272748157, 272624648, 272570271, 272570238, 272570229, 272448388, 271886763, 271335303, 271330797, 271227377, 270663580, 270663555, 270094027, 269046421"
7,Larus heermanni,Heermann's Gull,species,79,"318420107, 317905797, 317905781, 317905777, 317905774, 315321904, 309418329, 309416090, 309416083, 302765025, 299418229, 298202381, 296401593, 296399433, 296153902, 294988920, 293607603, 293607478, 293184596, 293183245, 292736052, 291138300, 290261273, 289211886, 289188130, 289184612, 289184192, 285220837, 284621868, 284317396, 283990150, 283747488, 283747471, 283715936, 283715932, 283212871, 282709546, 281513467, 281513462, 281370864, 281370683, 280882607, 280622176, 280033015, 280033013, 278579682, 278579663, 278579582, 278579568, 278579565, 278579564, 278579562, 278579558, 278564393, 278559572, 278559571, 278523122, 278512626, 278512619, 278512615, 278512610, 278512601, 278141399, 278127588, 278124320, 277470260, 277396164, 276810602, 276102246, 275339041, 275339029, 273272530, 271473410, 271372855, 271330796, 271330786, 271330768, 269822699, 269814740"
8,Pitangus sulphuratus,No disponible,species,77,"327515343, 326139521, 324882148, 324102589, 321398046, 320882727, 320772959, 320650844, 319601505, 319288751, 319217433, 319039959, 318709340, 318709254, 318554399, 318498996, 318467038, 318074129, 316748703, 315950798, 314879750, 314879741, 314335453, 314008390, 312998566, 310693202, 309632474, 309266067, 307883068, 305578242, 305288899, 303860090, 303860081, 303023856, 302693428, 302496217, 301097369, 299760895, 299759620, 298042037, 297609393, 297484138, 296293734, 296037362, 295854643, 295002746, 294994065, 293486191, 293052405, 292991863, 292910950, 290796568, 290733879, 290514270, 290514268, 290256534, 287213204, 286209521, 283715954, 283715934, 283273213, 281911474, 281891672, 281827671, 281542876, 277111111, 277067856, 276107793, 273653694, 272748163, 272570192, 272570189, 272570188, 272448189, 272380828, 271133917, 269848310"
9,Sula nebouxii,"Piquero camanay, Blue-footed Booby, Blaufußtölpel, Blauwvoetgent, Blåfodet Sule, Blåfotsule, Fou à pieds bleus, Sula piediazzurri, atobá-de-pés-azuis, blåfotad sula, głuptak niebieskonogi, kéklábú szula, mascarell camablau, sinijalg-suula, sinijalkasuula, sula modronohá, terej modronohý, zilkāju sulla, žydrakojis padūkėlis, Голубоногая олуша, アオアシカツオドリ, 蓝脚鲣鸟, 藍腳鰹鳥",species,74,"327904823, 327390117, 327389982, 326132682, 325515340, 325288007, 325280000, 324975689, 323502974, 323502971, 323502970, 323502968, 323502966, 322073667, 322073655, 320954937, 320423987, 318647572, 317905745, 316675398, 314942905, 314292558, 314292509, 309744471, 309418325, 307795505, 307759188, 307726959, 307468265, 307447558, 304303776, 300733933, 299918222, 298826654, 297776263, 297772274, 297757296, 297731038, 295013236, 287209878, 284616827, 284317405, 284317385, 284317384, 284317382, 283747480, 283305013, 282814925, 282702448, 281986123, 281082249, 278559580, 278519305, 278519302, 278519297, 278519296, 278519295, 278516280, 278131319, 278131103, 278129817, 278129728, 277519771, 277469088, 277468096, 277467819, 277396836, 277237328, 276659972, 276105361, 275339028, 275333535, 273273021, 269308138"
10,Nyctanassa violacea,No disponible,species,69,"327196293, 327147393, 325969469, 324975696, 321187357, 320882697, 320771981, 319992036, 319615531, 318503190, 318415676, 317905802, 317905767, 315033339, 314006713, 314006712, 313230871, 310566488, 310285571, 309269080, 307572412, 306317890, 305867908, 305867905, 304992560, 304861472, 304794506, 304104568, 303751741, 303620592, 302691108, 301706086, 301705901, 300783520, 300734449, 300696221, 299970731, 297008318, 296532149, 296414376, 295903210, 295487967, 293596890, 293052411, 291696188, 290516436, 290175241, 289185006, 282708976, 281976673, 277102131, 277084838, 276463778, 276431531, 275339038, 273343324, 273339199, 272489979, 272218593, 271494130, 271472055, 271371098, 271300680, 271068018, 270672155, 270651414, 268863150, 268623451, 268616954"
11,Smilisca baudinii,"Mexican treefrog, common Mexican treefrog",species,65,"326840287, 326255792, 326005898, 324396748, 323545690, 322589022, 321676374, 320984196, 320984174, 320984120, 319879012, 319402129, 319387655, 319252740, 319245884, 319066418, 318715355, 318702904, 318640588, 318549538, 318520602, 318331042, 316763266, 316611279, 316445587, 313230895, 313230894, 313230893, 313230890, 312553843, 312105611, 311851262, 308523314, 308117130, 306323135, 305441889, 304746751, 304295769, 304295768, 304295767, 304295765, 304295764, 304295763, 304295761, 304295760, 304295759, 302944135, 301406560, 301401849, 300616378, 300603864, 300603842, 297904500, 297840066, 297839896, 295772264, 293292546, 292495449, 292108031, 291057460, 289848105, 289700727, 289066303, 289066280, 289066271"
12,Coragyps atratus,No disponible,species,60,"327301787, 326207740, 326207695, 326095717, 326095711, 326095703, 326056601, 326049910, 324429126, 322073644, 319258358, 318769286, 318538413, 318504347, 318503738, 315719202, 315331013, 315072635, 313323169, 309418311, 309416079, 308828311, 304850276, 303751701, 303024577, 299833345, 299088322, 298810586, 298041476, 298006776, 297060797, 293052399, 288529430, 288027840, 287213205, 284972502, 284972496, 284972489, 284972485, 284972480, 284972473, 284848313, 283273217, 283273216, 283161134, 282425985, 281866257, 281640608, 280660946, 280622262, 280135682, 280135672, 276351434, 276343528, 276342908, 274422673, 272748144, 270098267, 269700018, 268646192"
13,Egretta thula,No disponible,species,59,"328100819, 326988134, 326139029, 324975708, 320961208, 320882745, 320787834, 319086653, 318482668, 318409465, 312971812, 310696257, 310693214, 309418315, 309418310, 307650275, 301705853, 301705497, 301704843, 300476852, 300464529, 300011989, 297794668, 297490477, 296941545, 296532436, 294646667, 293184176, 291249730, 289185508, 289125121, 286206888, 285515206, 285407991, 284972491, 284317397, 284055201, 283990959, 283990144, 283676872, 281910430, 281891808, 281828024, 280839990, 280704418, 278495333, 278376877, 277856240, 277856192, 277039384, 273653699, 273645637, 273339226, 272275767, 271373341, 271265703, 269898409, 269882849, 269873964"
14,Melanerpes chrysogenys,gullkinnspett,species,56,"327354985, 327156529, 324785142, 324276527, 319505263, 319296106, 319252759, 319212431, 319035876, 319025538, 318551857, 315332885, 315070865, 314879758, 313285197, 306342893, 303860096, 303266910, 302697628, 300863038, 300320654, 300013229, 300013227, 299757165, 298570189, 298074228, 294396649, 289415658, 288595739, 288529415, 287213203, 287213192, 286208945, 286206514, 284439288, 282563114, 281542861, 281542850, 277922204, 277856221, 277705502, 277620492, 277067871, 276814737, 276454744, 276441234, 274855232, 274422647, 274422616, 272621303, 272570407, 272570215, 271307698, 271292182, 270447181, 269882847"
15,Turdus rufopalliatus,Rufous-backed Robin,species,55,"327933463, 326214180, 319612626, 319601360, 319295752, 319223956, 319071601, 318709193, 318554343, 314016312, 313976985, 310693204, 310693184, 306055013, 304052491, 303801488, 302023265, 299757565, 299686133, 298548958, 298274131, 298273721, 298271768, 297300014, 296037343, 295907856, 295238732, 294990579, 294990417, 294716147, 294714123, 294505542, 294503219, 293265227, 292244249, 291642538, 290797448, 290796748, 290514280, 290175288, 290079675, 288593755, 286635169, 286094924, 283509875, 281542906, 274422638, 273653673, 272756324, 272756320, 272570864, 272570423, 270530783, 270097282, 270094705"
16,Icterus pustulatus,Streak-backed Oriole,species,55,"327355061, 327147391, 321945350, 321132566, 319505286, 319185230, 318709384, 318709309, 318554827, 318554407, 318467463, 316057067, 313976983, 313973662, 313230432, 306342233, 305679066, 304372793, 303860066, 301651146, 300011980, 298321746, 297784738, 295237514, 295217858, 294505155, 293487046, 293487045, 293266739, 293052408, 291528754, 290796291, 289748356, 289402129, 288593753, 288529400, 288499138, 288487461, 287211689, 286453102, 286206313, 286063737, 281085903, 281023740, 280970676, 280220809, 277958311, 277067861, 276867921, 274422580, 273653711, 272756305, 272626401, 272067803, 270869907"
17,Dendrocygna autumnalis,Black-bellied Whistling-Duck,species,53,"328097354, 319034363, 318709406, 318709230, 318078797, 317805970, 315042786, 314879752, 314452208, 313260582, 311532883, 307883380, 305991325, 303860091, 303751765, 302692477, 302643680, 299170491, 298321737, 298291668, 295898750, 295808972, 295026100, 294353587, 293052396, 292991802, 292242064, 292219166, 291200345, 290797153, 290514284, 290514175, 288499134, 287876368, 287492100, 287094620, 286087331, 285832497, 283990157, 283715950, 283715944, 282937692, 282937686, 282272497, 282125578, 281976861, 281523840, 280846396, 280210851, 278024647, 278017804, 271482623, 271371376"
18,Ortalis wagleri,Rufous-bellied Chachalaca,species,52,"327985681, 327949276, 327421383, 326759258, 326637031, 321603027, 320771991, 319388463, 319050527, 318086390, 318074080, 316353888, 315934556, 315632349, 314483708, 313949545, 307756966, 306055621, 305009206, 302550274, 301097316, 300973968, 300819462, 300013226, 299758008, 299471852, 298042025, 295500361, 295276194, 295038302, 294500763, 294199769, 293210962, 293059327, 291696196, 290514176, 289580623, 287744718, 287492090, 285842772, 281787908, 281542877, 280135610, 278467793, 277376680, 276441626, 273313258, 272527701, 272288786, 271689566, 271034874, 269523437"
19,Neoscona oaxacensis,No disponible,species,51,"327582909, 325078643, 324776071, 322483812, 322053203, 321327228, 321292216, 321057421, 321057285, 319791979, 319787630, 319783872, 319783597, 319781328, 319605685, 319605673, 319602932, 319589414, 319482558, 319376891, 319294585, 319264674, 319250478, 319245974, 319245590, 319208977, 319208532, 319053007, 319052977, 319026064, 318983971, 318788560, 318635477, 318549350, 318533204, 318522617, 316566581, 316333815, 315669321, 314917569, 310563921, 306831748, 303901815, 303849194, 303812446, 302009438, 301736156, 289245735, 288307346, 288306764, 288306118"
20,Coenobita compressus,No disponible,species,51,"327315452, 324975682, 322073662, 320655441, 319257653, 319257610, 319257564, 319086408, 319086205, 319082887, 318814282, 318506073, 318335381, 317905780, 317803411, 317455733, 314937070, 314726608, 312727627, 309620181, 308032297, 306387125, 306317892, 306317891, 302246327, 301696719, 300546855, 300464487, 299760644, 299404284, 298693743, 297151411, 297030697, 296153789, 295837624, 295780783, 294396620, 291057003, 290294124, 290189491, 288376746, 285515083, 284009447, 281513448, 278568265, 278564384, 278424421, 277864872, 276492116, 269492036, 268612067"
21,Crocodylus acutus,American crocodile,species,48,"326894985, 326095720, 326095697, 326095687, 325263154, 324975704, 324749353, 322690382, 320983645, 320983447, 320980915, 320633687, 318538288, 318484250, 318461408, 316186862, 315954126, 310816861, 309105142, 308367302, 308075011, 307666729, 307203090, 305623803, 304759426, 304329461, 303817027, 303751727, 303751723, 302282258, 300485663, 299397982, 299136745, 295500995, 294396627, 291696198, 290954039, 287488281, 284966063, 278915372, 278494560, 277856200, 277856193, 277856183, 277073598, 275274678, 271430677, 270651413"
22,Trichonephila clavipes,No disponible,species,47,"327582882, 327439311, 325748185, 325741462, 324624949, 323867346, 321292164, 321093753, 320909347, 320785796, 320183942, 319836451, 319661835, 319254925, 319208549, 319197828, 319185621, 319181685, 319179811, 319165321, 319073555, 319053001, 318946899, 318554340, 318533337, 318533249, 318533205, 318518354, 318497948, 318488461, 318477175, 318444268, 318440089, 317482041, 316787907, 315944277, 315944267, 315719172, 315334742, 315160587, 314937398, 314502918, 312634970, 307899587, 307182736, 292417068, 290028255"
23,Cassiculus melanicterus,Yellow-winged Cacique / Mexican Cacique,species,46,"327156541, 326797133, 326095739, 319426611, 319177893, 319055830, 318709373, 318709317, 318551853, 317530504, 314010313, 310693171, 310264227, 305406805, 304372501, 303751722, 303023842, 300819281, 300011982, 300011960, 299756949, 298321743, 297101976, 293190749, 291056754, 291056592, 290534854, 289890350, 288598561, 287492095, 287213194, 286332587, 281860524, 281542863, 277922134, 277861510, 277578032, 274422611, 272570976, 272570230, 272570224, 272570211, 271294982, 271294354, 270663566, 270094703"
24,Ardea alba,កុកគ្រោងធំ,species,45,"326679600, 326095712, 324056155, 323558120, 323132172, 320922265, 320752630, 320084078, 319426596, 319395921, 319274469, 318415941, 317036940, 315951733, 307466727, 302695592, 298042039, 297798103, 297794680, 293251897, 292991821, 292910568, 291601875, 290733832, 289594325, 289593665, 288904152, 287492109, 286207094, 286074636, 284317398, 280816105, 280624205, 280135660, 280135540, 278586782, 277856191, 273339245, 273339236, 272488978, 271371922, 271263599, 271263593, 271040341, 269694431"
25,Cyanocorax colliei,"Black-throated Magpie-jay, Black-throated Magpie-Jay",species,44,"327904140, 327255809, 327156537, 326350181, 326350180, 320789987, 319999636, 319401420, 319346988, 319255751, 319212336, 318946782, 318762709, 318551888, 315332884, 314870620, 313034583, 307123282, 306109857, 304301163, 301391738, 299758611, 298291674, 298074227, 298043900, 296614319, 296027515, 295499603, 295300571, 295296970, 295296967, 294103197, 289025091, 288593738, 286803349, 286208313, 281542884, 281542883, 281542879, 279154315, 271072094, 269822727, 269822726, 268853147"
26,Butorides virescens,No disponible,species,42,"326095692, 319609324, 319426613, 319426582, 319426568, 319426558, 319034591, 318709252, 318646202, 318475805, 313027007, 310693215, 310693213, 309079072, 307302830, 306539237, 304373095, 303751729, 303625928, 297773325, 297468569, 295488029, 294988926, 294667164, 293052400, 292991796, 290797059, 286335455, 281891469, 281875960, 280704775, 280666982, 280625731, 280532063, 280209610, 277856229, 277102199, 273653715, 273645640, 273339213, 272069811, 271373057"
27,Tyrannus melancholicus,No disponible,species,41,"327156546, 326390741, 326095685, 325826471, 319426555, 319285779, 319181692, 318709341, 318505470, 318499009, 318476322, 318472542, 316797506, 314879712, 313230867, 312345812, 310693205, 310693189, 307882426, 306416124, 298547617, 298321749, 298273431, 297784747, 297752710, 296949147, 296406794, 295906403, 294506449, 292991798, 288529388, 283715941, 281542896, 278579709, 278017859, 273645629, 273266534, 272628313, 271330814, 271307703, 271263600"
28,Crotophaga sulcirostris,"Garrapatero asurcado, Groove-billed Ani, Ani beccosolcato, Ani à bec cannelé, Furenebbani, Furenæbbet Ani, Groefsnavelani, Riefenschnabelani, aní de bec solcat, barázdáscsőrű ani, kleszczojad bruzdodzioby, kukačka rýhozobá, ostronos vrúbkozobý, raukšlėtasnapė vikšralesė gegutė, rievknābja ani, strimnäbbad ani, uurrenokka-ani, vagunokk-ühiskägu, Бороздчатоклювый ани, ミゾハシカッコウ, 沟嘴犀鹃, 溝嘴犀鵑",species,40,"327806353, 326214175, 320967613, 319606586, 319426561, 319185065, 318709266, 318554017, 318551864, 318538845, 313230854, 304849771, 303798277, 298274031, 293247167, 293247161, 293052404, 292991828, 292910734, 290514184, 288593752, 287492092, 281542886, 281542872, 281542853, 278579630, 277738718, 277446362, 277426741, 272628309, 272628308, 272626587, 272625248, 272625247, 271311746, 271296348, 271263595, 271263592, 271263588, 269464967"
29,Anolis nebulosus,No disponible,species,40,"327801942, 327320802, 324748634, 324622992, 324247228, 320746032, 319478753, 319252715, 318901704, 318553973, 318533265, 318325216, 309982153, 308306411, 306832249, 305105390, 305105386, 305105384, 305105383, 304301178, 304301176, 301919634, 297491728, 296921145, 296393496, 296031713, 295237515, 294396635, 293045147, 292957217, 291900415, 291696194, 290274222, 289996552, 289722606, 287484330, 271281887, 269841564, 269014328, 268649469"
30,Sula brewsteri,"Cocos Booby, Fou de Brewster",species,40,"327782236, 327437954, 325863032, 325862919, 325862887, 324979047, 324975678, 324975677, 324975676, 324975670, 323502991, 320955235, 317905787, 316633604, 300547503, 299258736, 298822767, 297759415, 297732227, 297730734, 297729888, 290292712, 286639849, 283305370, 282714533, 278640915, 278579678, 278579610, 278579563, 278579538, 278523119, 278516289, 278516277, 278133965, 277469341, 277468980, 275339060, 275339044, 275324293, 269566179"
31,Streptopelia decaocto,Eurasian Collared-Dove,species,40,"325976766, 324102608, 324102606, 319289053, 319254238, 319046789, 318771608, 315411675, 315124922, 314335645, 314006721, 313230884, 313230882, 313230856, 308348664, 307758996, 296399361, 292911331, 290733890, 289590308, 287091042, 283373519, 283273211, 282937705, 280302314, 278579585, 275899128, 273645609, 272629048, 272629038, 272624649, 272623224, 272623222, 272623209, 272621127, 271335305, 271263635, 270663581, 270663554, 270098269"
32,Antigonon leptopus,No disponible,species,40,"319257587, 319252702, 319198251, 319086730, 319065771, 318534475, 318501478, 318468440, 317455781, 317332510, 314958645, 314914854, 314725636, 314705895, 308255661, 307178504, 306904163, 304725165, 303902612, 301238707, 301238639, 299205430, 298557506, 298516813, 298272472, 296915158, 287214275, 281976546, 280302393, 272748171, 272629042, 272628311, 272626588, 272626403, 272625742, 272624654, 272623226, 272623223, 271323281, 270277909"
33,Anartia fatima colima,No disponible,subspecies,39,"327592930, 327451373, 327285797, 326850261, 326067162, 326059237, 326050621, 324781716, 324116609, 323960679, 321293535, 321139976, 320508301, 319505313, 319426580, 319295594, 319254005, 319253924, 319053030, 319052990, 318554351, 318486489, 315719175, 313160770, 311879530, 311626595, 310968500, 309982132, 308874839, 308516749, 307857885, 302801712, 298042024, 296027540, 293025952, 292989695, 292428422, 291411669, 286091927"
34,Polistes instabilis,No disponible,species,39,"327447622, 326109828, 325969138, 324248957, 321659146, 320053395, 319820776, 319661838, 319505248, 319268925, 319256775, 319252749, 319245814, 319212345, 319181732, 319043842, 318983833, 318946897, 318889907, 318784371, 318756539, 318728580, 318555673, 318554411, 318463085, 313610648, 313258041, 311380376, 310273818, 309982274, 309982164, 305636438, 305636427, 305582930, 305412087, 301908792, 296044289, 292166504, 274422598"
35,Apis mellifera,No disponible,species,38,"328139310, 324248959, 323835016, 322835722, 321945355, 321307420, 319065426, 318946802, 318696594, 318534592, 318476758, 318468777, 311851804, 307898813, 305620452, 303902671, 301238927, 298058844, 296616003, 296031710, 295895209, 294234065, 292123621, 289748358, 287744707, 287211717, 285337586, 284896067, 281862001, 281513457, 278740447, 278535530, 273645619, 272565229, 272447318, 271694433, 271630275, 270008626"
36,Amazilia rutila,Cinnamon Hummingbird,species,38,"327620164, 321081611, 319648124, 319602018, 319505294, 319426544, 319287565, 314879716, 314475733, 313976981, 310693181, 307518442, 305912182, 303860068, 301809158, 300783546, 299755803, 295907478, 295296973, 294501955, 293059339, 293059338, 293059331, 293052409, 293052401, 292896164, 290514312, 285444611, 284426924, 282563252, 281086666, 279535251, 276867933, 276113472, 274422629, 274422597, 272624625, 272624624"
37,Caracara plancus,gribbkarakara,species,37,"327623340, 327622762, 326804851, 326214190, 326197747, 325227997, 325227996, 325227995, 325227992, 317924178, 315513821, 313230858, 306317886, 303802479, 300210056, 296176353, 293458789, 290733815, 290514325, 290514152, 290514129, 289407382, 289404881, 289402291, 286636164, 286635439, 286635017, 284617970, 282812410, 278847534, 276665720, 276659543, 276656303, 276652981, 271549963, 269492043, 268721114"
38,Columbina inca,kaktusdue,species,37,"327156534, 326289363, 325783953, 319286201, 319246152, 319208553, 319047891, 319047331, 318755676, 318702906, 318504084, 318415353, 317037841, 315934916, 314335819, 308816230, 308358900, 305568009, 304849924, 297293983, 297230448, 297092404, 294987303, 293188419, 293059353, 293052403, 292992366, 286452029, 281087554, 272629039, 272616736, 272615139, 271713660, 271295481, 270664788, 270099396, 269693525"
